CD,CL,dCD,dCL
0.1088,-0.2891,0.00043,0.00041
0.101,-0.2699,0.00042,0.0004
0.0815,-0.242,0.00041,0.00039
0.056,-0.2147,0.00039,0.00038
0.0447,-0.1908,0.00038,0.00037
0.0371,-0.1617,0.00037,0.00036
0.0333,-0.1439,0.00037,0.00036
0.0278,-0.1184,0.00036,0.00035
0.0243,-0.0932,0.00035,0.00035
0.0221,-0.0672,0.00035,0.00035
0.0198,-0.0355,0.00034,0.00034
0.0175,-0.0064,0.00034,0.00034
0.0158,0.0134,0.00034,0.00034
0.015,0.0399,0.00034,0.00034
0.0147,0.0637,0.00035,0.00035
0.0142,0.0942,0.00035,0.00035
0.0149,0.1178,0.00036,0.00035
0.0171,0.1461,0.00037,0.00036
0.0181,0.1629,0.00037,0.00036
0.0211,0.1883,0.00038,0.00037
0.0239,0.2127,0.00039,0.00038
0.0275,0.2381,0.0004,0.00038
0.0314,0.2625,0.00041,0.00039
0.0366,0.285,0.00042,0.0004
0.0416,0.3152,0.00044,0.00041
0.0471,0.339,0.00045,0.00042
0.0526,0.3624,0.00047,0.00043
0.0593,0.3865,0.00048,0.00045
0.0665,0.4065,0.0005,0.00046
0.0743,0.4293,0.00051,0.00047
0.0811,0.4507,0.00052,0.00048
0.0898,0.4785,0.00054,0.0005
0.0965,0.4946,0.00056,0.0005
0.1059,0.5104,0.00057,0.00051
0.1145,0.5275,0.00058,0.00052
0.1237,0.546,0.00059,0.00054
