CD,CL,dCD,dCL
0.1284,-0.3255,0.00044,0.00042
0.1087,-0.3006,0.00043,0.0004
0.0891,-0.2675,0.00041,0.00039
0.0652,-0.2371,0.00039,0.00037
0.0508,-0.2036,0.00038,0.00036
0.0437,-0.1704,0.00036,0.00035
0.0385,-0.1417,0.00035,0.00035
0.034,-0.1109,0.00034,0.00034
0.0296,-0.0783,0.00034,0.00033
0.0274,-0.0403,0.00033,0.00033
0.0269,-0.0072,0.00033,0.00033
0.0237,0.0248,0.00033,0.00033
0.0232,0.0576,0.00033,0.00033
0.0236,0.084,0.00034,0.00033
0.0228,0.1214,0.00035,0.00034
0.0228,0.1508,0.00035,0.00035
0.0252,0.1784,0.00036,0.00035
0.0283,0.2072,0.00038,0.00036
0.0331,0.238,0.00039,0.00037
0.0361,0.2649,0.0004,0.00038
0.041,0.2914,0.00042,0.00039
0.046,0.3146,0.00043,0.0004
0.0505,0.3434,0.00045,0.00041
0.0574,0.3705,0.00046,0.00042
0.0638,0.4032,0.00048,0.00044
0.073,0.4351,0.0005,0.00045
0.0796,0.4561,0.00052,0.00046
0.0873,0.4784,0.00054,0.00048
0.0953,0.4992,0.00055,0.00049
0.1049,0.5173,0.00056,0.0005
0.1128,0.5345,0.00058,0.00051
0.1212,0.5559,0.00059,0.00052
0.1319,0.5753,0.00061,0.00053
0.1407,0.5904,0.00062,0.00054
0.1505,0.6055,0.00063,0.00055
0.1592,0.6229,0.00065,0.00056
