CD,CL,dCD,dCL
0.1202,-0.2825,0.00043,0.00041
0.1117,-0.277,0.00043,0.00041
0.0971,-0.2577,0.00042,0.0004
0.0808,-0.2385,0.00041,0.00039
0.0538,-0.2119,0.00039,0.00038
0.0428,-0.1866,0.00038,0.00037
0.037,-0.1614,0.00037,0.00037
0.0324,-0.1346,0.00036,0.00036
0.0278,-0.1106,0.00036,0.00035
0.0262,-0.0816,0.00035,0.00035
0.024,-0.0553,0.00035,0.00035
0.0225,-0.0298,0.00035,0.00035
0.02,-0.0014,0.00034,0.00034
0.0193,0.0222,0.00034,0.00034
0.0173,0.0471,0.00035,0.00035
0.0188,0.0723,0.00035,0.00035
0.019,0.1011,0.00036,0.00035
0.0201,0.1263,0.00036,0.00036
0.0203,0.1537,0.00037,0.00036
0.0249,0.1805,0.00038,0.00037
0.0274,0.2072,0.00039,0.00038
0.0296,0.2358,0.0004,0.00039
0.0325,0.26,0.00041,0.00039
0.0377,0.2934,0.00043,0.00041
0.0424,0.3209,0.00044,0.00042
0.0479,0.3475,0.00046,0.00043
0.0525,0.3764,0.00048,0.00044
0.06,0.409,0.0005,0.00046
0.0666,0.4367,0.00052,0.00047
0.076,0.4672,0.00054,0.00049
0.0831,0.4908,0.00055,0.0005
0.0917,0.5158,0.00057,0.00052
0.0998,0.5395,0.00059,0.00053
0.1107,0.5673,0.00061,0.00055
0.1224,0.5916,0.00063,0.00056
0.1348,0.6211,0.00065,0.00058
