CD,CL,dCD,dCL
0.1195,-0.2777,0.00143,0.00159
0.0983,-0.2656,0.00142,0.00158
0.0897,-0.2528,0.00141,0.00156
0.0725,-0.2309,0.0014,0.00153
0.0516,-0.2016,0.00139,0.00149
0.0436,-0.1742,0.00138,0.00146
0.0387,-0.1562,0.00138,0.00144
0.0312,-0.1351,0.00138,0.00142
0.0299,-0.1036,0.00137,0.0014
0.0263,-0.084,0.00137,0.00139
0.0251,-0.0604,0.00137,0.00138
0.0237,-0.0324,0.00137,0.00137
0.0217,-0.0126,0.00137,0.00137
0.0209,0.0131,0.00137,0.00137
0.0194,0.0255,0.00137,0.00137
0.0234,0.0631,0.00137,0.00138
0.0237,0.0839,0.00137,0.00139
0.0219,0.1102,0.00137,0.00141
0.0215,0.147,0.00138,0.00143
0.0242,0.1712,0.00138,0.00146
0.0237,0.2094,0.00138,0.0015
0.0316,0.2409,0.00139,0.00154
0.0359,0.2649,0.00139,0.00157
0.0398,0.2928,0.0014,0.00161
0.044,0.3252,0.0014,0.00167
0.0536,0.3473,0.00141,0.0017
0.0583,0.377,0.00142,0.00176
0.0587,0.3962,0.00142,0.00179
0.0681,0.4228,0.00143,0.00184
0.0756,0.4383,0.00144,0.00187
0.0873,0.4559,0.00145,0.00191
0.0998,0.4824,0.00146,0.00196
0.1085,0.4955,0.00147,0.00199
0.1161,0.5186,0.00148,0.00204
0.1219,0.5388,0.00149,0.00209
0.1273,0.5506,0.0015,0.00211
