CD,CL,dCD,dCL
0.1207,-0.3088,0.00149,0.0017
0.1085,-0.2965,0.00148,0.00168
0.0894,-0.2609,0.00146,0.00163
0.0772,-0.24,0.00145,0.0016
0.0532,-0.2125,0.00144,0.00156
0.0436,-0.1792,0.00144,0.00152
0.0389,-0.1596,0.00143,0.0015
0.0349,-0.138,0.00143,0.00148
0.0252,-0.1152,0.00143,0.00146
0.0237,-0.091,0.00142,0.00145
0.0219,-0.0666,0.00142,0.00143
0.0206,-0.0474,0.00142,0.00143
0.0162,-0.0245,0.00142,0.00142
0.0172,0.0053,0.00142,0.00142
0.0153,0.0379,0.00142,0.00143
0.0145,0.0685,0.00142,0.00144
0.0203,0.0942,0.00142,0.00145
0.0218,0.1131,0.00143,0.00146
0.0242,0.1352,0.00143,0.00148
0.0236,0.1691,0.00143,0.00151
0.0285,0.206,0.00143,0.00155
0.0301,0.2273,0.00144,0.00158
0.0346,0.2551,0.00144,0.00162
0.0399,0.2733,0.00145,0.00164
0.0434,0.2935,0.00145,0.00168
0.0509,0.331,0.00146,0.00174
0.056,0.3613,0.00146,0.00179
0.063,0.3789,0.00147,0.00183
0.0648,0.3959,0.00147,0.00186
0.0782,0.4229,0.00149,0.00191
0.0851,0.4426,0.00149,0.00195
0.089,0.4669,0.0015,0.002
0.1035,0.4925,0.00152,0.00206
0.1113,0.5082,0.00153,0.00209
0.1165,0.5382,0.00154,0.00216
0.1313,0.5483,0.00155,0.00219
