alpha_deg,CL,dCL
-18.409,-0.2891,0.00041
-17.359,-0.2699,0.0004
-16.358,-0.242,0.00039
-15.436,-0.2147,0.00038
-14.405,-0.1908,0.00037
-13.362,-0.1617,0.00036
-12.376,-0.1439,0.00036
-11.437,-0.1184,0.00035
-10.406,-0.0932,0.00035
-9.336,-0.0672,0.00035
-8.369,-0.0355,0.00034
-7.423,-0.0064,0.00034
-6.398,0.0134,0.00034
-5.379,0.0399,0.00034
-4.435,0.0637,0.00035
-3.43,0.0942,0.00035
-2.407,0.1178,0.00035
-1.371,0.1461,0.00036
-0.356,0.1629,0.00036
0.565,0.1883,0.00037
1.594,0.2127,0.00038
2.601,0.2381,0.00038
3.625,0.2625,0.00039
4.561,0.285,0.0004
5.651,0.3152,0.00041
6.629,0.339,0.00042
7.654,0.3624,0.00043
8.568,0.3865,0.00045
9.575,0.4065,0.00046
10.629,0.4293,0.00047
11.638,0.4507,0.00048
12.593,0.4785,0.0005
13.586,0.4946,0.0005
14.599,0.5104,0.00051
15.647,0.5275,0.00052
16.583,0.546,0.00054
