CD,CL,dCD,dCL
0.1376,-0.3612,0.00047,0.00044
0.1213,-0.3352,0.00045,0.00042
0.0998,-0.3086,0.00044,0.00041
0.0763,-0.28,0.00042,0.0004
0.0586,-0.2462,0.0004,0.00038
0.0482,-0.218,0.00039,0.00037
0.0414,-0.1843,0.00037,0.00036
0.0349,-0.1502,0.00036,0.00035
0.0298,-0.1171,0.00035,0.00035
0.0257,-0.0809,0.00034,0.00034
0.0216,-0.0415,0.00034,0.00034
0.0197,-0.0033,0.00033,0.00034
0.0182,0.0314,0.00034,0.00034
0.018,0.0681,0.00034,0.00034
0.0164,0.1035,0.00035,0.00034
0.018,0.1402,0.00036,0.00035
0.0203,0.1743,0.00037,0.00036
0.0226,0.2051,0.00038,0.00037
0.0261,0.2393,0.00039,0.00038
0.0292,0.2664,0.00041,0.00039
0.0345,0.2972,0.00042,0.0004
0.0403,0.3305,0.00044,0.00041
0.0458,0.3603,0.00046,0.00042
0.0529,0.3884,0.00048,0.00044
0.0601,0.4197,0.0005,0.00045
0.068,0.4468,0.00052,0.00047
0.0788,0.4788,0.00054,0.00048
0.0853,0.4928,0.00055,0.00049
0.0931,0.5119,0.00056,0.0005
0.1027,0.5316,0.00058,0.00051
0.1121,0.5491,0.00059,0.00052
0.1209,0.5696,0.00061,0.00054
0.1285,0.5836,0.00062,0.00055
0.1393,0.5988,0.00063,0.00056
0.1502,0.62,0.00065,0.00057
0.1613,0.6379,0.00066,0.00058
