CD,CL,dCD,dCL
0.1178,-0.2831,0.00042,0.0004
0.1022,-0.2679,0.00041,0.00039
0.085,-0.2458,0.0004,0.00038
0.0622,-0.2242,0.00039,0.00037
0.0498,-0.2074,0.00038,0.00036
0.0413,-0.179,0.00037,0.00035
0.0359,-0.1525,0.00036,0.00035
0.0306,-0.1222,0.00035,0.00034
0.0274,-0.1007,0.00034,0.00034
0.0241,-0.0731,0.00034,0.00033
0.0221,-0.0438,0.00033,0.00033
0.0193,-0.0108,0.00033,0.00033
0.0186,0.0199,0.00033,0.00033
0.0185,0.044,0.00033,0.00033
0.0176,0.0676,0.00034,0.00033
0.0164,0.0998,0.00034,0.00034
0.0164,0.1214,0.00035,0.00034
0.0198,0.1523,0.00036,0.00035
0.021,0.1757,0.00036,0.00035
0.0237,0.1989,0.00037,0.00036
0.0271,0.222,0.00038,0.00037
0.0298,0.2541,0.0004,0.00038
0.0352,0.286,0.00041,0.00039
0.0408,0.3148,0.00043,0.0004
0.0484,0.3476,0.00045,0.00041
0.0539,0.3714,0.00046,0.00042
0.0602,0.402,0.00048,0.00044
0.0663,0.4301,0.0005,0.00045
0.0753,0.4491,0.00051,0.00046
0.0828,0.4743,0.00053,0.00047
0.0924,0.5009,0.00055,0.00049
0.1022,0.5217,0.00057,0.0005
0.1125,0.5402,0.00058,0.00051
0.121,0.5609,0.0006,0.00052
0.1336,0.5845,0.00061,0.00054
0.1442,0.6024,0.00063,0.00055
