alpha_deg,CL,dCL
-18.287,-0.2947,0.00163
-17.401,-0.2836,0.00161
-16.362,-0.2646,0.00159
-15.304,-0.2492,0.00156
-14.37,-0.2242,0.00153
-13.262,-0.2039,0.0015
-12.252,-0.1808,0.00148
-11.496,-0.1566,0.00146
-10.436,-0.1425,0.00144
-9.379,-0.1129,0.00142
-8.378,-0.0919,0.00141
-7.458,-0.0701,0.0014
-6.424,-0.0441,0.00139
-5.249,-0.0048,0.00138
-4.477,0.0082,0.00138
-3.44,0.0283,0.00138
-2.141,0.0569,0.00139
-1.549,0.0844,0.0014
-0.366,0.1173,0.00142
0.629,0.1491,0.00145
1.559,0.1703,0.00147
2.58,0.2048,0.00151
3.636,0.2404,0.00155
4.583,0.2663,0.00159
5.573,0.3019,0.00164
6.599,0.3363,0.0017
7.638,0.3654,0.00175
8.599,0.3871,0.00179
9.548,0.4052,0.00182
10.672,0.448,0.00191
11.577,0.4775,0.00197
12.643,0.505,0.00203
13.672,0.5357,0.00209
14.578,0.5644,0.00216
15.639,0.5866,0.00221
16.519,0.62,0.00229
