alpha_deg,CL,dCL
-18.44,-0.2777,0.00159
-17.391,-0.2656,0.00158
-16.399,-0.2528,0.00156
-15.435,-0.2309,0.00153
-14.432,-0.2016,0.00149
-13.404,-0.1742,0.00146
-12.351,-0.1562,0.00144
-11.355,-0.1351,0.00142
-10.426,-0.1036,0.0014
-9.391,-0.084,0.00139
-8.383,-0.0604,0.00138
-7.43,-0.0324,0.00137
-6.427,-0.0126,0.00137
-5.409,0.0131,0.00137
-4.421,0.0255,0.00137
-3.367,0.0631,0.00138
-2.435,0.0839,0.00139
-1.395,0.1102,0.00141
-0.369,0.147,0.00143
0.629,0.1712,0.00146
1.57,0.2094,0.0015
2.625,0.2409,0.00154
3.629,0.2649,0.00157
4.615,0.2928,0.00161
5.608,0.3252,0.00167
6.606,0.3473,0.0017
7.648,0.377,0.00176
8.551,0.3962,0.00179
9.553,0.4228,0.00184
10.568,0.4383,0.00187
11.573,0.4559,0.00191
12.634,0.4824,0.00196
13.567,0.4955,0.00199
14.581,0.5186,0.00204
15.619,0.5388,0.00209
16.641,0.5506,0.00211
