CD,CL,dCD,dCL
0.1338,-0.348,0.00046,0.00043
0.1166,-0.3205,0.00044,0.00042
0.0964,-0.2927,0.00042,0.0004
0.0699,-0.2597,0.00041,0.00038
0.0546,-0.2322,0.00039,0.00037
0.0447,-0.1973,0.00038,0.00036
0.038,-0.1672,0.00036,0.00035
0.0322,-0.1379,0.00035,0.00035
0.0277,-0.1047,0.00035,0.00034
0.0241,-0.0689,0.00034,0.00034
0.0213,-0.0318,0.00033,0.00033
0.0194,-0.0049,0.00033,0.00033
0.0176,0.0319,0.00033,0.00033
0.0175,0.0683,0.00034,0.00034
0.0173,0.1005,0.00034,0.00034
0.016,0.1304,0.00035,0.00035
0.0188,0.1618,0.00036,0.00035
0.0223,0.2002,0.00038,0.00036
0.0242,0.2277,0.00039,0.00037
0.0285,0.256,0.0004,0.00038
0.0336,0.2872,0.00042,0.00039
0.0383,0.3146,0.00043,0.0004
0.0423,0.3433,0.00045,0.00041
0.0491,0.3691,0.00046,0.00043
0.0575,0.4063,0.00049,0.00044
0.0668,0.4358,0.00051,0.00046
0.074,0.4599,0.00052,0.00047
0.0801,0.479,0.00054,0.00048
0.089,0.4981,0.00055,0.00049
0.0986,0.5204,0.00057,0.0005
0.1073,0.5428,0.00058,0.00052
0.1176,0.5643,0.0006,0.00053
0.126,0.5785,0.00061,0.00054
0.1342,0.5924,0.00062,0.00055
0.1454,0.6143,0.00064,0.00056
0.1555,0.6308,0.00065,0.00057
