alpha_deg,CL,dCL
-18.428,-0.2743,0.00153
-17.338,-0.2733,0.00153
-16.386,-0.2583,0.00151
-15.436,-0.2351,0.00148
-14.347,-0.2129,0.00145
-13.397,-0.1846,0.00142
-12.365,-0.1517,0.00139
-11.401,-0.1313,0.00137
-10.434,-0.1182,0.00136
-9.374,-0.0891,0.00134
-8.361,-0.0535,0.00133
-7.434,-0.032,0.00132
-6.406,-0.012,0.00132
-5.41,0.0044,0.00132
-4.447,0.0274,0.00132
-3.442,0.0557,0.00133
-2.421,0.0898,0.00134
-1.442,0.1196,0.00136
-0.371,0.16,0.00139
0.575,0.1864,0.00142
1.583,0.2244,0.00146
2.578,0.261,0.00151
3.648,0.2778,0.00153
4.64,0.304,0.00157
5.595,0.3261,0.00161
6.613,0.3423,0.00163
7.642,0.3805,0.0017
8.593,0.4041,0.00174
9.56,0.4302,0.00179
10.64,0.4642,0.00185
11.602,0.4953,0.00192
12.65,0.5159,0.00196
13.582,0.5332,0.002
14.671,0.5601,0.00205
15.632,0.5675,0.00207
16.564,0.5939,0.00213
