CD,CL,dCD,dCL
0.1274,-0.3222,0.00139,0.0016
0.1134,-0.3032,0.00138,0.00157
0.09,-0.2648,0.00136,0.00151
0.0654,-0.2332,0.00134,0.00147
0.0545,-0.2027,0.00133,0.00143
0.0469,-0.1825,0.00133,0.00141
0.04,-0.1576,0.00133,0.00139
0.0374,-0.1354,0.00132,0.00137
0.0318,-0.1069,0.00132,0.00135
0.0252,-0.0755,0.00132,0.00133
0.0233,-0.0485,0.00132,0.00132
0.0231,-0.0323,0.00132,0.00132
0.0271,-0.0068,0.00132,0.00131
0.0289,0.0194,0.00132,0.00131
0.0185,0.0528,0.00132,0.00132
0.0173,0.0664,0.00132,0.00133
0.0256,0.0927,0.00132,0.00134
0.0286,0.1195,0.00132,0.00136
0.0266,0.1401,0.00132,0.00137
0.0283,0.1698,0.00132,0.0014
0.0366,0.1876,0.00133,0.00141
0.0346,0.2151,0.00133,0.00144
0.0381,0.2494,0.00134,0.00149
0.0426,0.2759,0.00134,0.00152
0.0467,0.3019,0.00135,0.00156
0.0584,0.3301,0.00135,0.00161
0.0601,0.3654,0.00136,0.00166
0.0649,0.3773,0.00137,0.00169
0.0746,0.3993,0.00137,0.00172
0.0766,0.4291,0.00138,0.00178
0.0948,0.4485,0.0014,0.00182
0.0966,0.4633,0.0014,0.00185
0.1008,0.4771,0.00141,0.00187
0.1295,0.4834,0.00143,0.00189
0.1128,0.5068,0.00142,0.00193
0.1222,0.5286,0.00143,0.00198
