CD,CL,dCD,dCL
0.1404,-0.3706,0.00143,0.00171
0.1233,-0.348,0.00142,0.00167
0.1027,-0.322,0.0014,0.00163
0.0858,-0.2919,0.00139,0.00158
0.0655,-0.2538,0.00137,0.00152
0.0526,-0.2198,0.00136,0.00148
0.0512,-0.1961,0.00136,0.00145
0.0409,-0.163,0.00135,0.00142
0.0338,-0.1337,0.00135,0.00139
0.0312,-0.0992,0.00134,0.00137
0.0278,-0.0723,0.00134,0.00136
0.0243,-0.0402,0.00134,0.00134
0.021,-0.0021,0.00134,0.00134
0.0208,0.0281,0.00134,0.00134
0.0176,0.0639,0.00134,0.00135
0.0171,0.088,0.00134,0.00136
0.0234,0.1296,0.00135,0.00139
0.0248,0.1648,0.00135,0.00142
0.0301,0.203,0.00135,0.00146
0.0305,0.2381,0.00136,0.0015
0.0369,0.273,0.00136,0.00155
0.0418,0.296,0.00137,0.00158
0.0482,0.3407,0.00138,0.00166
0.055,0.3649,0.00139,0.0017
0.0586,0.401,0.00139,0.00176
0.0642,0.4307,0.0014,0.00182
0.076,0.4596,0.00141,0.00187
0.0844,0.4761,0.00142,0.00191
0.0902,0.4949,0.00143,0.00195
0.1014,0.5153,0.00144,0.00199
0.1118,0.5262,0.00145,0.00201
0.1235,0.5413,0.00146,0.00205
0.1207,0.5579,0.00147,0.00208
0.1351,0.5745,0.00148,0.00212
0.1519,0.6043,0.0015,0.00219
0.1626,0.6182,0.00152,0.00222
