alpha_deg,CL,dCL
-18.411,-0.3612,0.00044
-17.356,-0.3352,0.00042
-16.39,-0.3086,0.00041
-15.436,-0.28,0.0004
-14.404,-0.2462,0.00038
-13.402,-0.218,0.00037
-12.373,-0.1843,0.00036
-11.433,-0.1502,0.00035
-10.405,-0.1171,0.00035
-9.358,-0.0809,0.00034
-8.334,-0.0415,0.00034
-7.413,-0.0033,0.00034
-6.393,0.0314,0.00034
-5.413,0.0681,0.00034
-4.412,0.1035,0.00034
-3.422,0.1402,0.00035
-2.401,0.1743,0.00036
-1.365,0.2051,0.00037
-0.361,0.2393,0.00038
0.565,0.2664,0.00039
1.605,0.2972,0.0004
2.635,0.3305,0.00041
3.636,0.3603,0.00042
4.566,0.3884,0.00044
5.616,0.4197,0.00045
6.64,0.4468,0.00047
7.649,0.4788,0.00048
8.58,0.4928,0.00049
9.581,0.5119,0.0005
10.746,0.5316,0.00051
11.614,0.5491,0.00052
12.656,0.5696,0.00054
13.631,0.5836,0.00055
14.611,0.5988,0.00056
15.63,0.62,0.00057
16.572,0.6379,0.00058
