alpha_deg,CL,dCL
-18.399,-0.3088,0.0017
-17.355,-0.2965,0.00168
-16.36,-0.2609,0.00163
-15.428,-0.24,0.0016
-14.409,-0.2125,0.00156
-13.406,-0.1792,0.00152
-12.429,-0.1596,0.0015
-11.438,-0.138,0.00148
-10.417,-0.1152,0.00146
-9.356,-0.091,0.00145
-8.41,-0.0666,0.00143
-7.404,-0.0474,0.00143
-6.394,-0.0245,0.00142
-5.375,0.0053,0.00142
-4.435,0.0379,0.00143
-3.452,0.0685,0.00144
-2.401,0.0942,0.00145
-1.366,0.1131,0.00146
-0.39,0.1352,0.00148
0.571,0.1691,0.00151
1.602,0.206,0.00155
2.595,0.2273,0.00158
3.659,0.2551,0.00162
4.565,0.2733,0.00164
5.587,0.2935,0.00168
6.63,0.331,0.00174
7.649,0.3613,0.00179
8.554,0.3789,0.00183
9.579,0.3959,0.00186
10.627,0.4229,0.00191
11.645,0.4426,0.00195
12.636,0.4669,0.002
13.592,0.4925,0.00206
14.612,0.5082,0.00209
15.646,0.5382,0.00216
16.555,0.5483,0.00219
