CD,CL,dCD,dCL
0.1058,-0.2754,0.00041,0.00039
0.0889,-0.2505,0.0004,0.00038
0.064,-0.2209,0.00038,0.00037
0.0474,-0.1992,0.00037,0.00036
0.0384,-0.1775,0.00036,0.00035
0.0318,-0.1446,0.00035,0.00034
0.0273,-0.1265,0.00035,0.00034
0.0222,-0.1033,0.00034,0.00034
0.0191,-0.0742,0.00033,0.00033
0.0176,-0.0532,0.00033,0.00033
0.0165,-0.0247,0.00033,0.00033
0.0145,-0.0057,0.00033,0.00033
0.0121,0.0175,0.00033,0.00033
0.012,0.0365,0.00033,0.00033
0.0117,0.0579,0.00033,0.00033
0.0129,0.0803,0.00033,0.00033
0.0129,0.0999,0.00034,0.00033
0.0149,0.1215,0.00034,0.00034
0.015,0.1413,0.00035,0.00034
0.0183,0.1604,0.00036,0.00035
0.0209,0.1815,0.00036,0.00035
0.0243,0.2055,0.00037,0.00036
0.0296,0.2262,0.00038,0.00036
0.0325,0.2509,0.00039,0.00037
0.0385,0.2746,0.00041,0.00038
0.0435,0.2947,0.00042,0.00039
0.0502,0.3254,0.00043,0.0004
0.0558,0.3406,0.00044,0.00041
0.0622,0.3608,0.00046,0.00042
0.0699,0.3887,0.00047,0.00043
0.0794,0.4128,0.00049,0.00044
0.0886,0.4398,0.00051,0.00045
0.0957,0.4558,0.00052,0.00046
0.1056,0.4782,0.00054,0.00048
0.1162,0.4987,0.00055,0.00049
0.1262,0.5208,0.00057,0.0005
