CD,CL,dCD,dCL
0.1296,-0.324,0.00139,0.0016
0.1124,-0.3025,0.00138,0.00157
0.0919,-0.2649,0.00136,0.00151
0.0757,-0.2434,0.00135,0.00148
0.0582,-0.2274,0.00134,0.00146
0.0509,-0.1936,0.00133,0.00142
0.0449,-0.1638,0.00133,0.00139
0.0415,-0.1334,0.00133,0.00137
0.0324,-0.1078,0.00132,0.00135
0.0312,-0.0779,0.00132,0.00133
0.0309,-0.022,0.00132,0.00132
0.0324,0.0072,0.00132,0.00132
0.028,0.0273,0.00132,0.00132
0.0298,0.0482,0.00132,0.00132
0.026,0.0746,0.00132,0.00133
0.0277,0.1147,0.00132,0.00135
0.0253,0.1395,0.00132,0.00137
0.0297,0.1666,0.00133,0.0014
0.0355,0.1992,0.00133,0.00143
0.0371,0.2292,0.00133,0.00146
0.042,0.2602,0.00134,0.0015
0.0472,0.295,0.00135,0.00155
0.0481,0.3137,0.00135,0.00158
0.0546,0.3359,0.00136,0.00162
0.0623,0.373,0.00137,0.00168
0.0689,0.3988,0.00137,0.00173
0.0791,0.4333,0.00139,0.00179
0.0865,0.4592,0.0014,0.00184
0.0934,0.4771,0.0014,0.00188
0.1065,0.4969,0.00142,0.00192
0.1123,0.5234,0.00143,0.00197
0.1245,0.5473,0.00144,0.00202
0.1302,0.5603,0.00145,0.00205
0.1421,0.5766,0.00146,0.00209
0.152,0.5911,0.00148,0.00212
0.156,0.6055,0.00148,0.00215
