alpha_deg,CL,dCL
-18.4,-0.3706,0.00171
-17.35,-0.348,0.00167
-16.367,-0.322,0.00163
-15.435,-0.2919,0.00158
-14.39,-0.2538,0.00152
-13.374,-0.2198,0.00148
-12.471,-0.1961,0.00145
-11.338,-0.163,0.00142
-10.41,-0.1337,0.00139
-9.355,-0.0992,0.00137
-8.376,-0.0723,0.00136
-7.405,-0.0402,0.00134
-6.392,-0.0021,0.00134
-5.377,0.0281,0.00134
-4.374,0.0639,0.00135
-3.423,0.088,0.00136
-2.401,0.1296,0.00139
-1.453,0.1648,0.00142
-0.415,0.203,0.00146
0.626,0.2381,0.0015
1.606,0.273,0.00155
2.625,0.296,0.00158
3.583,0.3407,0.00166
4.644,0.3649,0.0017
5.753,0.401,0.00176
6.638,0.4307,0.00182
7.648,0.4596,0.00187
8.592,0.4761,0.00191
9.587,0.4949,0.00195
10.595,0.5153,0.00199
11.607,0.5262,0.00201
12.585,0.5413,0.00205
13.602,0.5579,0.00208
14.616,0.5745,0.00212
15.636,0.6043,0.00219
16.57,0.6182,0.00222
