alpha_deg,CL,dCL
-18.43,-0.3172,0.00041
-17.373,-0.2808,0.00039
-16.382,-0.2548,0.00038
-15.404,-0.2229,0.00037
-14.417,-0.1988,0.00036
-13.376,-0.1702,0.00035
-12.346,-0.1483,0.00034
-11.359,-0.1205,0.00034
-10.429,-0.0976,0.00034
-9.374,-0.0691,0.00033
-8.355,-0.0384,0.00033
-7.442,-0.0128,0.00033
-6.409,0.0253,0.00033
-5.414,0.0507,0.00033
-4.455,0.069,0.00033
-3.443,0.0988,0.00033
-2.425,0.1273,0.00034
-1.348,0.1543,0.00035
-0.36,0.1737,0.00035
0.581,0.2027,0.00036
1.583,0.2227,0.00036
2.628,0.254,0.00037
3.649,0.2795,0.00038
4.643,0.2991,0.00039
5.607,0.3248,0.0004
6.616,0.3519,0.00041
7.618,0.3792,0.00042
8.566,0.4014,0.00043
9.616,0.4252,0.00045
10.601,0.4474,0.00046
11.627,0.467,0.00047
12.627,0.4878,0.00048
13.582,0.5034,0.00049
14.601,0.521,0.0005
15.643,0.5397,0.00051
16.599,0.5566,0.00052
