alpha_deg,CL,dCL
-18.399,-0.324,0.0016
-17.256,-0.3025,0.00157
-16.346,-0.2649,0.00151
-15.409,-0.2434,0.00148
-14.411,-0.2274,0.00146
-13.393,-0.1936,0.00142
-12.443,-0.1638,0.00139
-11.436,-0.1334,0.00137
-10.42,-0.1078,0.00135
-9.364,-0.0779,0.00133
-8.348,-0.022,0.00132
-7.413,0.0072,0.00132
-6.397,0.0273,0.00132
-5.375,0.0482,0.00132
-4.426,0.0746,0.00133
-3.431,0.1147,0.00135
-2.41,0.1395,0.00137
-1.37,0.1666,0.0014
-0.358,0.1992,0.00143
0.599,0.2292,0.00146
1.596,0.2602,0.0015
2.633,0.295,0.00155
3.666,0.3137,0.00158
4.557,0.3359,0.00162
5.606,0.373,0.00168
6.629,0.3988,0.00173
7.639,0.4333,0.00179
8.6,0.4592,0.00184
9.582,0.4771,0.00188
10.613,0.4969,0.00192
11.616,0.5234,0.00197
12.57,0.5473,0.00202
13.578,0.5603,0.00205
14.616,0.5766,0.00209
15.648,0.5911,0.00212
16.556,0.6055,0.00215
