alpha_deg,CL,dCL
-18.4,-0.348,0.00043
-17.389,-0.3205,0.00042
-16.428,-0.2927,0.0004
-15.424,-0.2597,0.00038
-14.391,-0.2322,0.00037
-13.363,-0.1973,0.00036
-12.331,-0.1672,0.00035
-11.435,-0.1379,0.00035
-10.4,-0.1047,0.00034
-9.349,-0.0689,0.00034
-8.381,-0.0318,0.00033
-7.426,-0.0049,0.00033
-6.388,0.0319,0.00033
-5.359,0.0683,0.00034
-4.442,0.1005,0.00034
-3.416,0.1304,0.00035
-2.394,0.1618,0.00035
-1.407,0.2002,0.00036
-0.374,0.2277,0.00037
0.582,0.256,0.00038
1.609,0.2872,0.00039
2.608,0.3146,0.0004
3.658,0.3433,0.00041
4.576,0.3691,0.00043
5.624,0.4063,0.00044
6.643,0.4358,0.00046
7.652,0.4599,0.00047
8.562,0.479,0.00048
9.588,0.4981,0.00049
10.657,0.5204,0.0005
11.622,0.5428,0.00052
12.637,0.5643,0.00053
13.598,0.5785,0.00054
14.62,0.5924,0.00055
15.584,0.6143,0.00056
16.574,0.6308,0.00057
